# Numerical factor to be applied to the sky-averaged astrometric errors for the
# different astrometric parameters as function of ecliptic latitude β, including
# the effect of the variation of the number of transits over the sky.
# |sin(beta)|     alpha*     delta     pi     mu-alpha*     mu-delta
  0.025           1.026     0.756    1.180     0.725        0.542
  0.075           1.021     0.757    1.180     0.722        0.542
  0.125           1.002     0.751    1.169     0.710        0.537
  0.175           0.993     0.752    1.167     0.703        0.539
  0.225           0.973     0.751    1.158     0.689        0.538
  0.275           0.952     0.742    1.143     0.673        0.533
  0.325           0.934     0.740    1.136     0.662        0.533
  0.375           0.901     0.730    1.146     0.640        0.525
  0.425           0.861     0.718    1.098     0.614        0.515
  0.475           0.819     0.705    1.072     0.584        0.506
  0.525           0.765     0.691    1.043     0.548        0.493
  0.575           0.701     0.673    1.009     0.500        0.477
  0.625           0.631     0.650    0.970     0.451        0.461
  0.675           0.535     0.621    0.922     0.381        0.437
  0.725           0.469     0.607    0.850     0.327        0.423
  0.775           0.554     0.636    0.808     0.386        0.443
  0.825           0.603     0.654    0.779     0.422        0.456
  0.875           0.641     0.669    0.755     0.447        0.467
  0.925           0.668     0.680    0.731     0.466        0.473
  0.975           0.688     0.706    0.713     0.481        0.490
  Mean            0.787     0.699    1.000     0.556        0.496
