knots_G,coeff_G,knots_BP,coeff_BP,knots_RP,coeff_RP
4.0,-2.79887909,4.0,-2.32338865,4.0,-2.47826261
4.0,-3.08151944,4.0,-2.7347354,4.0,-2.60799603
4.0,-2.84639276,4.0,-3.17685799,4.0,-2.57160952
4.0,-3.56581772,4.0,-2.85931381,4.0,-3.23730068
5.0,-3.72691989,5.0,-3.06319467,5.0,-3.0577367
6.0,-3.60270497,6.0,-3.03465194,6.0,-3.39917882
7.0,-3.5436255,7.0,-3.24178883,7.0,-3.39272922
7.5,-3.55291006,8.0,-3.21522612,8.0,-3.48046476
8.0,-3.69643657,9.0,-3.20568965,9.0,-3.2825215
8.5,-3.64899144,10.0,-3.02017022,10.0,-3.32760274
9.0,-3.67061528,11.0,-3.08397926,11.0,-3.14042529
9.5,-3.53485525,12.0,-2.97514949,12.0,-2.93931369
10.0,-3.4978671,13.0,-2.75388736,13.0,-2.66040611
10.2,-3.8080462,14.0,-2.49080265,14.0,-2.36268719
10.4,-3.70531135,15.0,-2.19398139,15.0,-2.00067133
10.6,-3.65814306,16.0,-1.88249501,16.0,-1.67932569
10.8,-3.49039948,17.0,-1.51867789,17.0,-1.36591438
11.0,-3.4627759,18.0,-1.22363879,18.0,-0.96526757
11.2,-3.65010982,19.0,-0.97861134,19.0,-0.84902968
11.4,-3.67777902,20.0,-0.89172014,20.0,-0.81220472
11.6,-3.58065738,20.9,-0.88153184,20.9,-0.79051121
11.8,-3.59787309,21.0,0.0,21.0,0.0
12.0,-3.63099015,21.0,0.0,21.0,0.0
13.0,-3.4425947,21.0,0.0,21.0,0.0
14.0,-3.2403399,21.0,0.0,21.0,0.0
15.0,-3.01000111,,,,
16.0,-2.782245,,,,
17.0,-2.50489,,,,
18.0,-2.27662556,,,,
19.0,-2.08203507,,,,
20.0,-1.98780053,,,,
20.5,-1.93253788,,,,
20.9,-1.90632763,,,,
21.0,0.0,,,,
21.0,0.0,,,,
21.0,0.0,,,,
21.0,0.0,,,,
