knots_G,coeff_G,knots_BP,coeff_BP,knots_RP,coeff_RP
3.98333,-2.6686688,3.95,-2.35733011,3.98333,-2.46576846
3.98333,-3.15478854,3.95,-2.64095421,3.98333,-2.60861172
3.98333,-2.80164701,3.95,-3.21749952,3.98333,-2.56457496
3.98333,-3.58524418,3.95,-2.84441953,3.98333,-3.23711778
5.0,-3.71684791,5.0,-3.07084609,5.0,-3.05783128
6.0,-3.6077583,6.0,-3.03059536,6.0,-3.39912752
7.0,-3.54068951,7.0,-3.24395598,7.0,-3.39275878
7.5,-3.55453827,8.0,-3.21406564,8.0,-3.4804449
8.0,-3.69550477,9.0,-3.2063127,9.0,-3.28253968
8.5,-3.64960192,10.0,-3.0198331,10.0,-3.3275789
9.0,-3.67027793,11.0,-3.08416649,11.0,-3.14046441
9.5,-3.53502324,12.0,-2.97503661,12.0,-2.93924351
10.0,-3.49776724,13.0,-2.75397143,13.0,-2.66053568
10.2,-3.80810077,14.0,-2.49071345,14.0,-2.36244582
10.4,-3.7052822,15.0,-2.19411197,15.0,-2.00112286
10.6,-3.65815826,16.0,-1.88226834,16.0,-1.67847377
10.8,-3.49039211,17.0,-1.51910871,17.0,-1.36757625
11.0,-3.46277842,18.0,-1.21081614,18.0,-0.9454358
11.2,-3.65011101,19.0,-0.96169554,19.0,-0.84779583
11.4,-3.67777462,20.0,-0.87317411,20.0,-0.79312323
11.6,-3.58066755,21.01667,0.0,21.01667,0.0
11.8,-3.59785497,21.01667,0.0,21.01667,0.0
12.0,-3.63101572,21.01667,0.0,21.01667,0.0
13.0,-3.44255105,21.01667,0.0,21.01667,0.0
14.0,-3.24041933,,,,
15.0,-3.0098533,,,,
16.0,-2.78252535,,,,
17.0,-2.5043271,,,,
18.0,-2.27768095,,,,
19.0,-2.0678234,,,,
20.0,-1.97972281,,,,
20.5,-1.89599009,,,,
21.01667,0.0,,,,
21.01667,0.0,,,,
21.01667,0.0,,,,
21.01667,0.0,,,,
